Yzero,0.0,,52.11999640E-3,-59.999998659E-3,,Yzero,-5.36000000,,52.11999640E-3,2.3999999,,Yzero,1.7200000,,52.11999640E-3,319.99999285E-3,,Yzero,5.72000000,,52.11999640E-3,-639.999985695E-3,
Probe Atten,1.000000,,52.15999857E-3,-79.999998212E-3,,Probe Atten,1.000000,,52.15999857E-3,2.4199998,,Probe Atten,1.000000,,52.15999857E-3,319.99999285E-3,,,,,52.15999857E-3,-639.999985695E-3,
,,,52.19999701E-3,-59.999998659E-3,,,,,52.19999701E-3,2.4199998,,,,,52.19999701E-3,280.00000119E-3,,,,,52.19999701E-3,-639.999985695E-3,
Note,TDS 2024B - 12:01:08   10/11/2023,,52.23999918E-3,-59.999998659E-3,,Note,TDS 2024B - 12:01:08   10/11/2023,,52.23999918E-3,2.3999999,,Note,TDS 2024B - 12:01:08   10/11/2023,,52.23999918E-3,280.00000119E-3,,Note,TDS 2024B - 12:01:08   10/11/2023,,52.23999918E-3,-639.999985695E-3,
,,,52.27999762E-3,-39.99999911E-3,,,,,52.27999762E-3,2.3999999,,,,,52.27999762E-3,280.00000119E-3,,,,,52.27999762E-3,-639.999985695E-3,
,,,52.31999978E-3,-59.999998659E-3,,,,,52.31999978E-3,2.3799999,,,,,52.31999978E-3,280.00000119E-3,,,,,52.31999978E-3,-639.999985695E-3,
,,,52.35999823E-3,-59.999998659E-3,,,,,52.35999823E-3,2.3999999,,,,,52.35999823E-3,280.00000119E-3,,,,,52.35999823E-3,-639.999985695E-3,
,,,52.39999667E-3,-39.99999911E-3,,,,,52.39999667E-3,2.3999999,,,,,52.39999667E-3,280.00000119E-3,,,,,52.39999667E-3,-639.999985695E-3,
,,,52.43999884E-3,-79.999998212E-3,,,,,52.43999884E-3,2.3999999,,,,,52.43999884E-3,319.99999285E-3,,,,,52.43999884E-3,-639.999985695E-3,
,,,52.47999728E-3,-59.999998659E-3,,,,,52.47999728E-3,2.4199998,,,,,52.47999728E-3,280.00000119E-3,,,,,52.47999728E-3,-639.999985695E-3,
,,,52.51999944E-3,-59.999998659E-3,,,,,52.51999944E-3,2.3999999,,,,,52.51999944E-3,280.00000119E-3,,,,,52.51999944E-3,-639.999985695E-3,
,,,52.55999789E-3,-59.999998659E-3,,,,,52.55999789E-3,2.4199998,,,,,52.55999789E-3,280.00000119E-3,,,,,52.55999789E-3,-639.999985695E-3,
,,,52.59999633E-3,-59.999998659E-3,,,,,52.59999633E-3,2.3999999,,,,,52.59999633E-3,280.00000119E-3,,,,,52.59999633E-3,-639.999985695E-3,
,,,52.63999850E-3,-79.999998212E-3,,,,,52.63999850E-3,2.4199998,,,,,52.63999850E-3,280.00000119E-3,,,,,52.63999850E-3,-639.999985695E-3,
,,,52.67999694E-3,-59.999998659E-3,,,,,52.67999694E-3,2.3999999,,,,,52.67999694E-3,319.99999285E-3,,,,,52.67999694E-3,-639.999985695E-3,
